_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67f005271b4e1d1a3852de28,,76.52,92.2,76.52,69.12,130;0;0;0,words,25,-1,23,20.39,0,74.42,false,false,english,none,normal,false,false,false,,1743783207000
67f0046c1b4e1d1a3852d0c8,,83.43,99.17,83.43,69.11,120;0;0;0,words,25,-1,3,17.26,0,4.1,false,false,english,none,normal,false,false,false,,1743783020000
67f0044f1b4e1d1a3852ceb8,,60.91,85.43,60.91,51.15,128;0;0;0,words,25,-1,2,25.22,0,7.55,false,false,english,none,normal,false,false,false,,1743782991000
67ee7f0a1b4e1d1a383fb9aa,,58.9,85.06,58.9,57.14,128;0;0;0,words,25,-1,1,26.08,0,2.72,false,false,english,none,normal,false,false,false,,1743683338000
67ee7eea1b4e1d1a383fb7ff,,73.17,92.25,73.17,63.21,128;0;0;0,words,25,-1,3,20.99,0,17.47,false,false,english,none,normal,false,false,false,,1743683306000
67ee7ea91b4e1d1a383fb426,,58.28,89.73,58.28,60,130;0;0;0,words,25,-1,5,26.77,0,25.37,false,false,english,none,normal,false,false,false,,1743683241000
67ee7e6f1b4e1d1a383fb102,,63.39,89.51,63.39,61.55,128;0;0;0,words,25,-1,7,24.23,0,27.41,false,false,english,none,normal,false,false,false,,1743683183000
67ee7e341b4e1d1a383fadae,,72.8,96.09,72.8,63.89,122;0;0;0,words,25,-1,11,20.11,0,37.02,false,false,english,none,normal,false,false,false,,1743683124000
67ee7dea1b4e1d1a383fa9c0,,59.38,89.02,59.38,58.68,140;0;0;0,words,25,-1,0,28.29,0,0,false,false,english,none,normal,false,false,false,,1743683050000
67ed6d3d1d4f6d42a889f323,,58.68,90.67,58.68,55.85,132;0;0;0,words,25,-1,3,26.99,0,2.63,false,false,english,none,normal,false,false,false,,1743613245000
67ed6d111d4f6d42a889effa,,59.27,88.54,59.27,55.5,135;0;0;0,words,25,-1,0,27.33,0,0,false,false,english,none,normal,false,false,false,,1743613201000
67eae1f21d4f6d42a86c8518,,56.58,89.16,56.58,57.27,146;0;0;0,words,25,-1,13,30.96,0,37.59,false,false,english,none,normal,false,false,false,,1743446514000
67eae1811d4f6d42a86c7e85,,59.72,90.78,59.72,65.83,124;0;0;0,words,25,-1,7,24.92,0,30.45,false,false,english,none,normal,false,false,false,,1743446401000
67eae13e1d4f6d42a86c7aa7,,59.34,90.48,59.34,52.04,129;0;0;0,words,25,-1,4,26.09,0,10.74,false,false,english,none,normal,false,false,false,,1743446334000
67eae1121d4f6d42a86c780e,,55.72,87.04,55.72,55.49,139;0;0;0,words,25,-1,2,29.93,0,15.18,false,false,english,none,normal,false,false,false,,1743446290000
67e8194e1d4f6d42a8526aad,,67.22,93.53,67.22,64.77,130;0;0;0,words,25,-1,12,23.21,0,46.14,false,false,english,none,normal,false,false,false,,1743264078000
67e818f11d4f6d42a8526689,,60.04,89.74,60.04,62.65,138;0;0;0,words,25,-1,4,27.58,0,24.35,false,false,english,none,normal,false,false,false,,1743263985000
67e818b71d4f6d42a8526455,,65.04,92.09,65.04,60.22,128;0;0;0,words,25,-1,12,23.62,0,73.57,false,false,english,none,normal,false,false,false,,1743263927000
67e8183e1d4f6d42a8525f40,,54.43,86.06,54.43,53.96,140;0;0;0,words,25,-1,13,30.86,0,47.04,false,false,english,none,normal,false,false,false,,1743263806000
67e817331d4f6d42a852546e,,51.42,83.23,51.42,53.43,125;0;0;0,words,25,-1,1,29.17,0,3.24,false,false,english,none,normal,false,false,false,,1743263539000
67e817101d4f6d42a85252eb,,70.86,96.77,70.86,59.91,120;0;0;0,words,25,-1,0,20.32,0,0,false,false,english,none,normal,false,false,false,,1743263504000
67e816fb1d4f6d42a85251f4,,51.96,85.81,51.96,53.94,123;0;0;0,words,25,-1,1,28.41,0,1.71,false,false,english,none,normal,false,false,false,,1743263483000
